,year,month,uf_acronym,type,number_of_consumers,consumption
32927,2015,8,SE,others,31285,50565.0
32928,2015,8,BA,others,289603,359073.0
32929,2015,8,MG,others,847623,642430.0
32930,2015,8,ES,others,219619,138352.0
32931,2015,8,RJ,others,109380,623302.0
32932,2015,8,SP,others,391861,1212376.0
32933,2015,8,PR,others,435653,390704.0
32934,2015,8,SC,others,265306,357952.0
32935,2015,8,RS,others,369357,449228.0
32936,2015,8,MS,others,106440,93492.0
32937,2015,8,MT,others,178796,182584.0
32938,2015,8,GO,others,204017,316664.0
32939,2015,8,DF,others,16800,128179.0
32940,2015,9,RO,others,124923,69842.0
32941,2015,9,AC,others,31225,22885.0
32942,2015,9,AM,others,52794,98583.0
32943,2015,9,RR,others,17914,17313.0
32944,2015,9,PA,others,146320,157629.0
32945,2015,9,AP,others,3980,15936.0
32946,2015,9,TO,others,71895,47549.0
32947,2015,9,MA,others,89064,117127.0
32948,2015,9,PI,others,51417,65852.0
32949,2015,9,CE,others,577432,233967.0
32950,2015,9,RN,others,94340,97123.0
32951,2015,9,PB,others,159257,84412.0
32952,2015,9,PE,others,191452,196693.35
32953,2015,9,AL,others,22033,59781.0
32954,2015,9,SE,others,31376,53773.0
32955,2015,9,BA,others,289911,377183.0
32956,2015,9,MG,others,848537,646883.0
32957,2015,9,ES,others,220461,145907.0
32958,2015,9,RJ,others,109774,565955.0
32959,2015,9,SP,others,392223,1235206.0
32960,2015,9,PR,others,435148,394994.0
32961,2015,9,SC,others,265034,346233.0
32962,2015,9,RS,others,370155,441772.0
32963,2015,9,MS,others,106839,102115.0
32964,2015,9,MT,others,179941,185943.0
32965,2015,9,GO,others,203907,328078.0
32966,2015,9,DF,others,16489,133326.0
32967,2015,10,RO,others,124945,67209.0
32968,2015,10,AC,others,31388,22887.0
32969,2015,10,AM,others,52858,103128.0
32970,2015,10,RR,others,18079,19559.0
32971,2015,10,PA,others,148817,151564.0
32972,2015,10,AP,others,3985,14339.0
32973,2015,10,TO,others,71976,45839.0
32974,2015,10,MA,others,88677,120407.0
32975,2015,10,PI,others,51143,67174.0
32976,2015,10,CE,others,580511,238418.0
32977,2015,10,RN,others,94420,99206.0
32978,2015,10,PB,others,159635,87977.0
32979,2015,10,PE,others,192004,210722.39
32980,2015,10,AL,others,22183,69020.0
32981,2015,10,SE,others,31473,57630.0
32982,2015,10,BA,others,290703,399628.0
32983,2015,10,MG,others,849372,670370.0
32984,2015,10,ES,others,221037,178232.0
32985,2015,10,RJ,others,109874,551633.0
32986,2015,10,SP,others,392697,1279478.0
32987,2015,10,PR,others,434696,409731.0
32988,2015,10,SC,others,265528,350060.0
32989,2015,10,RS,others,370732,433523.0
32990,2015,10,MS,others,107108,102291.0
32991,2015,10,MT,others,180263,183630.0
32992,2015,10,GO,others,204412,322716.0
32993,2015,10,DF,others,16414,139006.0
32994,2015,11,RO,others,124948,66331.0
32995,2015,11,AC,others,30960,23055.0
32996,2015,11,AM,others,52809,93758.0
32997,2015,11,RR,others,18200,18332.0
32998,2015,11,PA,others,149494,148838.0
32999,2015,11,AP,others,3896,14991.0
33000,2015,11,TO,others,71912,42885.0
33001,2015,11,MA,others,88592,116650.0
33002,2015,11,PI,others,51639,68001.0
33003,2015,11,CE,others,584234,251632.0
33004,2015,11,RN,others,94575,105872.0
33005,2015,11,PB,others,159852,87793.0
33006,2015,11,PE,others,192470,205899.45
33007,2015,11,AL,others,21223,72507.0
33008,2015,11,SE,others,31542,59837.0
33009,2015,11,BA,others,291148,396791.0
33010,2015,11,MG,others,850834,674432.0
33011,2015,11,ES,others,221830,188167.0
33012,2015,11,RJ,others,110166,598675.0
33013,2015,11,SP,others,393649,1251083.0
33014,2015,11,PR,others,434200,421321.0
33015,2015,11,SC,others,265846,367226.0
33016,2015,11,RS,others,369945,428315.0
33017,2015,11,MS,others,106569,106671.0
33018,2015,11,MT,others,180728,164129.0
33019,2015,11,GO,others,204773,317885.0
33020,2015,11,DF,others,16460,137777.0
33021,2015,12,RO,others,124849,63146.0
33022,2015,12,AC,others,31082,25392.0
33023,2015,12,AM,others,52691,83867.0
33024,2015,12,RR,others,18196,16993.0
33025,2015,12,PA,others,151210,163602.0
33026,2015,12,AP,others,4046,17028.0
33027,2015,12,TO,others,71790,44316.0
33028,2015,12,MA,others,89558,120856.0
33029,2015,12,PI,others,51849,64432.0
33030,2015,12,CE,others,585235,248497.0
33031,2015,12,RN,others,94575,103433.0
33032,2015,12,PB,others,160122,87608.0
33033,2015,12,PE,others,192922,216572.59
33034,2015,12,AL,others,22267,75475.0
33035,2015,12,SE,others,31678,61703.0
33036,2015,12,BA,others,291715,398471.0
33037,2015,12,MG,others,847114,576296.0
33038,2015,12,ES,others,221939,150719.0
33039,2015,12,RJ,others,110268,676330.0
33040,2015,12,SP,others,394445,1214220.0
33041,2015,12,PR,others,433823,418516.0
33042,2015,12,SC,others,265983,355270.0
33043,2015,12,RS,others,369996,490100.0
33044,2015,12,MS,others,105120,100733.0
33045,2015,12,MT,others,179730,152789.0
33046,2015,12,GO,others,204962,279016.0
33047,2015,12,DF,others,16466,134301.0
33048,2016,1,RO,others,124621,58761.0
33049,2016,1,AC,others,31198,21396.0
33050,2016,1,AM,others,52681,82992.0
33051,2016,1,RR,others,18253,16516.0
33052,2016,1,PA,others,153446,135311.0
33053,2016,1,AP,others,3999,14459.0
33054,2016,1,TO,others,71784,36785.0
33055,2016,1,MA,others,89541,104904.0
33056,2016,1,PI,others,51856,58445.0
33057,2016,1,CE,others,591219,235032.0
33058,2016,1,RN,others,94543,91406.0
33059,2016,1,PB,others,160211,86588.0
33060,2016,1,PE,others,192793,192845.03
33061,2016,1,AL,others,22226,71968.0
33062,2016,1,SE,others,31850,58100.0
33063,2016,1,BA,others,291690,340091.0
33064,2016,1,MG,others,854201,581238.0
33065,2016,1,ES,others,221556,119643.0
33066,2016,1,RJ,others,31907,660718.0
33067,2016,1,SP,others,396744,1181249.0
33068,2016,1,PR,others,433135,428319.0
33069,2016,1,SC,others,266269,396425.0
33070,2016,1,RS,others,369626,636153.0
33071,2016,1,MS,others,105059,95394.0
33072,2016,1,MT,others,180048,136443.0
33073,2016,1,GO,others,204683,221362.0
33074,2016,1,DF,others,16480,126986.0
33075,2016,2,RO,others,125212,59371.0
33076,2016,2,AC,others,31051,21636.0
33077,2016,2,AM,others,52789,83535.0
33078,2016,2,RR,others,18263,17069.0
33079,2016,2,PA,others,154343,143907.0
33080,2016,2,AP,others,3924,14141.0
33081,2016,2,TO,others,71777,39769.0
33082,2016,2,MA,others,88884,95205.0
33083,2016,2,PI,others,51743,53430.0
33084,2016,2,CE,others,586849,213582.0
33085,2016,2,RN,others,94541,82336.0
33086,2016,2,PB,others,160356,76931.0
33087,2016,2,PE,others,192935,176564.91
33088,2016,2,AL,others,22474,67176.0
33089,2016,2,SE,others,31979,57315.0
33090,2016,2,BA,others,292169,315629.0
33091,2016,2,MG,others,855351,536576.0
33092,2016,2,ES,others,223919,168292.0
33093,2016,2,RJ,others,31821,634704.0
33094,2016,2,SP,others,397218,1174434.0
33095,2016,2,PR,others,432307,437447.0
33096,2016,2,SC,others,266385,392388.0
33097,2016,2,RS,others,370287,725777.0
33098,2016,2,MS,others,105093,100017.0
33099,2016,2,MT,others,180403,140920.0
33100,2016,2,GO,others,204879,214254.0
33101,2016,2,DF,others,16481,122795.0
33102,2016,3,RO,others,125132,61638.0
33103,2016,3,AC,others,31059,23840.0
33104,2016,3,AM,others,52845,89229.0
33105,2016,3,RR,others,18288,18231.0
33106,2016,3,PA,others,153804,149370.0
33107,2016,3,AP,others,3983,15242.0
33108,2016,3,TO,others,71691,44954.0
33109,2016,3,MA,others,89949,104414.0
33110,2016,3,PI,others,52031,57720.0
33111,2016,3,CE,others,583430,217167.0
33112,2016,3,RN,others,94598,88995.0
33113,2016,3,PB,others,160711,82510.0
33114,2016,3,PE,others,193131,199443.85
33115,2016,3,AL,others,22198,70556.0
33116,2016,3,SE,others,32120,60579.0
33117,2016,3,BA,others,292637,408912.0
33118,2016,3,MG,others,855713,564158.0
33119,2016,3,ES,others,223011,185253.0
33120,2016,3,RJ,others,31934,655645.0
33121,2016,3,SP,others,394757,1211445.0
33122,2016,3,PR,others,431581,432372.0
33123,2016,3,SC,others,266301,378509.0
33124,2016,3,RS,others,371055,681829.0
33125,2016,3,MS,others,105228,101027.0
33126,2016,3,MT,others,180598,154487.0
33127,2016,3,GO,others,205040,216223.0
33128,2016,3,DF,others,16640,128612.0
33129,2016,4,RO,others,124527,60544.0
33130,2016,4,AC,others,30990,23002.0
33131,2016,4,AM,others,52949,85396.0
33132,2016,4,RR,others,18418,17145.0
33133,2016,4,PA,others,151267,147024.0
33134,2016,4,AP,others,3904,14248.0
33135,2016,4,TO,others,71689,43360.0
33136,2016,4,MA,others,90251,107744.0
33137,2016,4,PI,others,51788,58796.0
33138,2016,4,CE,others,587777,219397.0
33139,2016,4,RN,others,94525,89567.0
33140,2016,4,PB,others,160751,80139.0
33141,2016,4,PE,others,193493,199377.78
33142,2016,4,AL,others,22409,60914.0
33143,2016,4,SE,others,32368,57607.0
33144,2016,4,BA,others,293317,408000.0
33145,2016,4,MG,others,856398,633719.0
33146,2016,4,ES,others,224373,171404.0
33147,2016,4,RJ,others,32001,647704.0
33148,2016,4,SP,others,395978,1254542.0
33149,2016,4,PR,others,430533,433595.0
33150,2016,4,SC,others,266398,407094.0
33151,2016,4,RS,others,371618,580103.0
33152,2016,4,MS,others,105408,105427.0
33153,2016,4,MT,others,180446,158435.0
33154,2016,4,GO,others,204998,259481.0
33155,2016,4,DF,others,16599,140488.0
33156,2016,5,RO,others,126227,60003.0
33157,2016,5,AC,others,31055,23498.0
33158,2016,5,AM,others,53047,86603.0
33159,2016,5,RR,others,18515,16930.0
33160,2016,5,PA,others,158711,163610.0
33161,2016,5,AP,others,4085,15982.0
33162,2016,5,TO,others,69235,47794.0
33163,2016,5,MA,others,91883,110121.0
33164,2016,5,PI,others,52125,63204.0
33165,2016,5,CE,others,589570,222999.0
33166,2016,5,RN,others,92465,90738.0
33167,2016,5,PB,others,161118,80240.0
33168,2016,5,PE,others,193785,205841.1
33169,2016,5,AL,others,22313,63429.0
33170,2016,5,SE,others,32480,57567.0
33171,2016,5,BA,others,294055,413455.0
33172,2016,5,MG,others,859114,671047.0
33173,2016,5,ES,others,223981,163684.0
33174,2016,5,RJ,others,31968,603559.0
33175,2016,5,SP,others,396339,1234955.0
33176,2016,5,PR,others,429607,418416.0
33177,2016,5,SC,others,266339,373533.0
33178,2016,5,RS,others,371895,534870.0
33179,2016,5,MS,others,106002,100066.0
33180,2016,5,MT,others,180367,156126.0
33181,2016,5,GO,others,205187,282500.0
33182,2016,5,DF,others,16632,136081.0
33183,2016,6,RO,others,126769,59699.0
33184,2016,6,AC,others,31315,22616.0
33185,2016,6,AM,others,53108,86657.0
33186,2016,6,RR,others,18541,16032.0
33187,2016,6,PA,others,158231,161407.0
33188,2016,6,AP,others,4117,14450.0
33189,2016,6,TO,others,69291,50035.0
33190,2016,6,MA,others,90544,115670.0
33191,2016,6,PI,others,52459,64455.0
33192,2016,6,CE,others,588847,229615.0
33193,2016,6,RN,others,90611,93574.0
33194,2016,6,PB,others,161400,78599.0
33195,2016,6,PE,others,194032,192765.5
33196,2016,6,AL,others,22559,56604.0
33197,2016,6,SE,others,32563,54179.0
33198,2016,6,BA,others,294859,411986.0
33199,2016,6,MG,others,861643,679585.0
33200,2016,6,ES,others,225409,148728.0
33201,2016,6,RJ,others,32423,572578.0
33202,2016,6,SP,others,396698,1166989.0
33203,2016,6,PR,others,429087,391566.0
33204,2016,6,SC,others,265884,360594.0
33205,2016,6,RS,others,372126,504036.0
33206,2016,6,MS,others,106341,87797.0
33207,2016,6,MT,others,180582,167078.0
33208,2016,6,GO,others,205117,285952.0
33209,2016,6,DF,others,16613,133381.0
33210,2016,7,RO,others,126914,60285.0
33211,2016,7,AC,others,31370,22829.0
33212,2016,7,AM,others,53113,91583.0
33213,2016,7,RR,others,18570,15620.0
33214,2016,7,PA,others,161169,142878.0
33215,2016,7,AP,others,4148,14792.0
33216,2016,7,TO,others,69280,47139.0
33217,2016,7,MA,others,91457,116977.0
33218,2016,7,PI,others,52376,66015.0
33219,2016,7,CE,others,589973,224447.0
33220,2016,7,RN,others,90090,95052.0
33221,2016,7,PB,others,161633,77372.0
33222,2016,7,PE,others,194418,190704.83
33223,2016,7,AL,others,22757,53514.0
33224,2016,7,SE,others,32682,53310.0
33225,2016,7,BA,others,295288,381233.0
33226,2016,7,MG,others,863048,657647.0
33227,2016,7,ES,others,225274,149629.0
33228,2016,7,RJ,others,32823,554056.0
33229,2016,7,SP,others,397406,1159312.0
33230,2016,7,PR,others,428629,388155.0
33231,2016,7,SC,others,265440,364329.0
33232,2016,7,RS,others,371184,495444.0
33233,2016,7,MS,others,106621,90789.0
33234,2016,7,MT,others,180937,180357.0
33235,2016,7,GO,others,205446,284640.0
33236,2016,7,DF,others,16605,128270.0
33237,2016,8,RO,others,127024,65674.0
33238,2016,8,AC,others,31434,23445.0
33239,2016,8,AM,others,53419,85520.0
33240,2016,8,RR,others,18568,26924.0
33241,2016,8,PA,others,159820,158888.0
33242,2016,8,AP,others,4186,17003.0
33243,2016,8,TO,others,69134,48165.0
33244,2016,8,MA,others,90187,103003.0
33245,2016,8,PI,others,52693,65498.0
33246,2016,8,CE,others,595108,231585.0
33247,2016,8,RN,others,90019,101497.0
33248,2016,8,PB,others,161958,85054.0
33249,2016,8,PE,others,193195,199093.31
33250,2016,8,AL,others,22830,54067.0
33251,2016,8,SE,others,32754,56439.0
33252,2016,8,BA,others,296011,404888.0
33253,2016,8,MG,others,864375,667784.0
33254,2016,8,ES,others,225683,135982.0
33255,2016,8,RJ,others,32598,587770.0
33256,2016,8,SP,others,398281,1228681.0
33257,2016,8,PR,others,428191,384255.0
33258,2016,8,SC,others,266430,358069.0
33259,2016,8,RS,others,372377,488008.0
33260,2016,8,MS,others,106326,98496.0
33261,2016,8,MT,others,181069,195468.0
33262,2016,8,GO,others,205709,283257.0
33263,2016,8,DF,others,16624,126852.0
33264,2016,9,RO,others,127563,62281.0
33265,2016,9,AC,others,31204,23297.0
33266,2016,9,AM,others,53641,74217.0
33267,2016,9,RR,others,18565,16795.0
33268,2016,9,PA,others,162247,159942.0
33269,2016,9,AP,others,4268,16888.0
33270,2016,9,TO,others,69000,47099.0
33271,2016,9,MA,others,90557,125438.0
33272,2016,9,PI,others,53290,67788.0
33273,2016,9,CE,others,600189,241135.0
33274,2016,9,RN,others,89352,108844.0
33275,2016,9,PB,others,162349,86582.0
33276,2016,9,PE,others,192341,202556.83
33277,2016,9,AL,others,22870,65226.0
33278,2016,9,SE,others,32821,57163.0
33279,2016,9,BA,others,297057,411167.0
33280,2016,9,MG,others,865459,693055.0
33281,2016,9,ES,others,225846,150743.0
33282,2016,9,RJ,others,33388,597409.0
33283,2016,9,SP,others,397722,1252280.0
33284,2016,9,PR,others,427573,389264.0
33285,2016,9,SC,others,266439,363887.0
33286,2016,9,RS,others,372926,486724.0
33287,2016,9,MS,others,106737,100018.0
33288,2016,9,MT,others,181541,187054.0
33289,2016,9,GO,others,206039,276030.0
33290,2016,9,DF,others,16786,135529.0
33291,2016,10,RO,others,127854,63842.0
33292,2016,10,AC,others,31173,24507.0
33293,2016,10,AM,others,53740,83029.0
33294,2016,10,RR,others,18515,17561.0
33295,2016,10,PA,others,163302,156969.0
33296,2016,10,AP,others,4350,16033.0
33297,2016,10,TO,others,68888,44858.0
33298,2016,10,MA,others,90356,116658.0
33299,2016,10,PI,others,53519,67536.0
33300,2016,10,CE,others,603230,243520.0
33301,2016,10,RN,others,88428,107110.0
33302,2016,10,PB,others,162695,88023.0
33303,2016,10,PE,others,192021,211218.11
33304,2016,10,AL,others,22862,70950.0
33305,2016,10,SE,others,32865,61620.0
33306,2016,10,BA,others,297347,396454.0
33307,2016,10,MG,others,866006,676683.0
33308,2016,10,ES,others,226441,166819.0
33309,2016,10,RJ,others,32250,598170.0
33310,2016,10,SP,others,398221,1267574.0
33311,2016,10,PR,others,427089,393405.0
33312,2016,10,SC,others,266709,350247.0
33313,2016,10,RS,others,373239,475947.0
33314,2016,10,MS,others,106021,101686.0
33315,2016,10,MT,others,181949,171291.0
33316,2016,10,GO,others,205792,265348.0
33317,2016,10,DF,others,16793,136423.0
33318,2016,11,RO,others,127852,61171.0
33319,2016,11,AC,others,31372,24126.0
33320,2016,11,AM,others,53822,97873.0
33321,2016,11,RR,others,18537,18077.0
33322,2016,11,PA,others,164370,161100.0
33323,2016,11,AP,others,4337,16418.0
33324,2016,11,TO,others,68763,43936.0
33325,2016,11,MA,others,90626,118447.0
33326,2016,11,PI,others,53555,72677.0
33327,2016,11,CE,others,603699,245191.0
33328,2016,11,RN,others,86519,110163.0
33329,2016,11,PB,others,163080,91294.0
33330,2016,11,PE,others,192592,209553.39
33331,2016,11,AL,others,22895,72327.0
33332,2016,11,SE,others,32965,66197.0
33333,2016,11,BA,others,297788,400833.0
33334,2016,11,MG,others,865936,649070.0
33335,2016,11,ES,others,226367,144343.0
33336,2016,11,RJ,others,32343,578380.0
33337,2016,11,SP,others,398994,1246304.0
33338,2016,11,PR,others,426351,408544.0
33339,2016,11,SC,others,266830,378235.0
33340,2016,11,RS,others,373562,499203.0
33341,2016,11,MS,others,107134,109757.0
33342,2016,11,MT,others,182394,158080.0
33343,2016,11,GO,others,206189,254868.0
33344,2016,11,DF,others,16738,131716.0
33345,2016,12,RO,others,128255,59735.0
33346,2016,12,AC,others,31061,25771.0
33347,2016,12,AM,others,53728,99752.0
33348,2016,12,RR,others,18645,17503.0
33349,2016,12,PA,others,166752,163293.0
33350,2016,12,AP,others,4343,14585.0
33351,2016,12,TO,others,68702,43681.0
33352,2016,12,MA,others,90718,117465.0
33353,2016,12,PI,others,53910,65783.0
33354,2016,12,CE,others,605932,245457.0
33355,2016,12,RN,others,85182,107898.0
33356,2016,12,PB,others,163356,92771.0
33357,2016,12,PE,others,192855,214301.34
33358,2016,12,AL,others,22882,75453.0
33359,2016,12,SE,others,33019,63073.0
33360,2016,12,BA,others,298577,380084.0
33361,2016,12,MG,others,864457,573165.0
33362,2016,12,ES,others,226697,128118.0
33363,2016,12,RJ,others,32811,601373.0
33364,2016,12,SP,others,398268,1236610.0
33365,2016,12,PR,others,425726,421331.0
33366,2016,12,SC,others,266938,381741.0
33367,2016,12,RS,others,374742,645113.0
33368,2016,12,MS,others,107129,107447.0
33369,2016,12,MT,others,182908,139326.0
33370,2016,12,GO,others,206663,214784.0
33371,2016,12,DF,others,16769,133006.0
33372,2017,1,RO,others,128913,57792.0
33373,2017,1,AC,others,31377,23409.0
33374,2017,1,AM,others,53786,80028.0
33375,2017,1,RR,others,18639,17183.0
33376,2017,1,PA,others,170336,138859.0
33377,2017,1,AP,others,4349,14173.0
33378,2017,1,TO,others,68683,41652.0
33379,2017,1,MA,others,90808,100424.0
33380,2017,1,PI,others,54094,60271.0
33381,2017,1,CE,others,605884,227217.0
33382,2017,1,RN,others,85229,99144.0
33383,2017,1,PB,others,163470,110271.0
33384,2017,1,PE,others,193254,206341.12
33385,2017,1,AL,others,22975,77294.0
33386,2017,1,SE,others,33156,63371.0
33387,2017,1,BA,others,298765,429548.0
33388,2017,1,MG,others,869636,604981.0
33389,2017,1,ES,others,227199,159099.0
33390,2017,1,RJ,others,114672,641902.18
33391,2017,1,SP,others,398850,1201644.0
33392,2017,1,PR,others,425373,430151.0
33393,2017,1,SC,others,267293,411028.0
33394,2017,1,RS,others,375269,697257.0
33395,2017,1,MS,others,106930,105404.0
33396,2017,1,MT,others,183674,143728.0
33397,2017,1,GO,others,204520,255969.0
33398,2017,1,DF,others,16669,131811.0
33399,2017,2,RO,others,128608,55811.0
33400,2017,2,AC,others,31337,22371.0
33401,2017,2,AM,others,53957,77718.0
33402,2017,2,RR,others,18648,15674.0
33403,2017,2,PA,others,170793,145493.0
33404,2017,2,AP,others,4383,12611.0
33405,2017,2,TO,others,68519,40139.0
33406,2017,2,MA,others,90427,94933.0
33407,2017,2,PI,others,54267,55467.0
33408,2017,2,CE,others,602325,210891.0
33409,2017,2,RN,others,85259,92893.0
33410,2017,2,PB,others,163603,77886.0
33411,2017,2,PE,others,193245,213380.57
33412,2017,2,AL,others,22697,75474.0
33413,2017,2,SE,others,33242,60261.0
33414,2017,2,BA,others,299193,353893.0
33415,2017,2,MG,others,870248,592119.0
33416,2017,2,ES,others,228473,150536.0
33417,2017,2,RJ,others,114817,622419.0
33418,2017,2,SP,others,400465,1168512.0
33419,2017,2,PR,others,424900,444498.0
33420,2017,2,SC,others,267252,422847.0
33421,2017,2,RS,others,375466,688849.0
33422,2017,2,MS,others,107008,103828.0
33423,2017,2,MT,others,183812,164140.0
33424,2017,2,GO,others,203688,238433.51
33425,2017,2,DF,others,16708,125503.0
33426,2017,3,RO,others,129278,65027.0
33427,2017,3,AC,others,31327,23670.0
33428,2017,3,AM,others,53986,86233.0
33429,2017,3,RR,others,18475,18026.0
33430,2017,3,PA,others,173007,152754.0
33431,2017,3,AP,others,4385,11060.0
33432,2017,3,TO,others,68432,45267.0
33433,2017,3,MA,others,90634,96438.0
33434,2017,3,PI,others,54472,60635.0
33435,2017,3,CE,others,601434,201128.0
33436,2017,3,RN,others,85293,90874.0
33437,2017,3,PB,others,163892,81959.0
33438,2017,3,PE,others,193979,224749.51
33439,2017,3,AL,others,23023,78996.0
33440,2017,3,SE,others,33324,64775.0
33441,2017,3,BA,others,299808,395442.0
33442,2017,3,MG,others,871430,596311.0
33443,2017,3,ES,others,228102,163104.0
33444,2017,3,RJ,others,114708,658605.0
33445,2017,3,SP,others,399866,1252482.0
33446,2017,3,PR,others,424600,464434.0
33447,2017,3,SC,others,267337,418779.0
33448,2017,3,RS,others,376033,678490.0
33449,2017,3,MS,others,107252,106103.0
33450,2017,3,MT,others,184356,160569.0
33451,2017,3,GO,others,203231,231628.29
33452,2017,3,DF,others,16712,110368.0
33453,2017,4,RO,others,129332,59474.0
33454,2017,4,AC,others,31434,23238.0
33455,2017,4,AM,others,53903,83018.0
33456,2017,4,RR,others,18691,16775.0
33457,2017,4,PA,others,173467,154726.0
33458,2017,4,AP,others,4505,11287.0
33459,2017,4,TO,others,68368,43648.0
33460,2017,4,MA,others,90394,100838.0
33461,2017,4,PI,others,54226,63384.0
33462,2017,4,CE,others,603463,206225.0
33463,2017,4,RN,others,85362,87568.0
33464,2017,4,PB,others,164157,82014.0
33465,2017,4,PE,others,194030,226549.24
33466,2017,4,AL,others,23074,84070.0
33467,2017,4,SE,others,33435,61050.0
33468,2017,4,BA,others,300339,374022.0
33469,2017,4,MG,others,872967,641732.0
33470,2017,4,ES,others,228820,155519.0
33471,2017,4,RJ,others,114389,630968.0
33472,2017,4,SP,others,398812,1263338.0
33473,2017,4,PR,others,424099,447925.0
33474,2017,4,SC,others,267288,403565.0
33475,2017,4,RS,others,376222,583911.0
33476,2017,4,MS,others,107402,109812.0
33477,2017,4,MT,others,184675,162837.0
33478,2017,4,GO,others,204406,241445.79
33479,2017,4,DF,others,17109,135266.0
33480,2017,5,RO,others,129809,65245.0
33481,2017,5,AC,others,31540,24934.0
33482,2017,5,AM,others,53887,91195.0
33483,2017,5,RR,others,18632,17381.0
33484,2017,5,PA,others,176982,160550.0
33485,2017,5,AP,others,4431,18083.0
33486,2017,5,TO,others,68334,47965.0
33487,2017,5,MA,others,90665,105095.0
33488,2017,5,PI,others,54565,69707.0
33489,2017,5,CE,others,606746,216310.0
33490,2017,5,RN,others,85430,91354.0
33491,2017,5,PB,others,164543,84462.0
33492,2017,5,PE,others,194111,229096.81
33493,2017,5,AL,others,23012,71443.0
33494,2017,5,SE,others,33552,57531.0
33495,2017,5,BA,others,300937,418264.0
33496,2017,5,MG,others,874441,664794.0
33497,2017,5,ES,others,229566,162293.0
33498,2017,5,RJ,others,114232,541060.0
33499,2017,5,SP,others,399951,1240091.0
33500,2017,5,PR,others,423300,412581.0
33501,2017,5,SC,others,267329,355822.0
33502,2017,5,RS,others,377011,520704.0
33503,2017,5,MS,others,107509,101576.0
33504,2017,5,MT,others,185295,163666.0
33505,2017,5,GO,others,205231,282410.75
33506,2017,5,DF,others,17194,128484.0
33507,2017,6,RO,others,130353,62311.0
33508,2017,6,AC,others,31780,24057.0
33509,2017,6,AM,others,53979,88447.0
33510,2017,6,RR,others,18699,16269.0
33511,2017,6,PA,others,176651,156920.0
33512,2017,6,AP,others,4400,14513.0
33513,2017,6,TO,others,68266,52193.0
33514,2017,6,MA,others,90108,108721.0
33515,2017,6,PI,others,54548,69833.0
33516,2017,6,CE,others,589166,222825.0
33517,2017,6,RN,others,85465,95020.0
33518,2017,6,PB,others,164966,81741.0
33519,2017,6,PE,others,193723,206617.96
33520,2017,6,AL,others,22991,68044.0
33521,2017,6,SE,others,33637,53617.0
33522,2017,6,BA,others,301763,418346.0
33523,2017,6,MG,others,876465,668636.0
33524,2017,6,ES,others,229913,147452.0
33525,2017,6,RJ,others,114169,583837.0
33526,2017,6,SP,others,400090,1216372.0
33527,2017,6,PR,others,422474,404917.0
33528,2017,6,SC,others,267294,374945.0
33529,2017,6,RS,others,377421,495185.0
33530,2017,6,MS,others,107535,99706.0
33531,2017,6,MT,others,185814,178231.0
33532,2017,6,GO,others,205208,288126.3
33533,2017,6,DF,others,17203,131224.0
33534,2017,7,RO,others,130308,60913.0
33535,2017,7,AC,others,31762,24742.0
33536,2017,7,AM,others,54050,89079.0
33537,2017,7,RR,others,18802,15622.0
33538,2017,7,PA,others,178198,135747.0
33539,2017,7,AP,others,4454,13472.0
33540,2017,7,TO,others,67856,49835.0
33541,2017,7,MA,others,90270,110196.0
33542,2017,7,PI,others,54736,67409.0
33543,2017,7,CE,others,586356,216576.0
33544,2017,7,RN,others,85564,90344.0
33545,2017,7,PB,others,165264,77410.0
33546,2017,7,PE,others,194059,202883.0
33547,2017,7,AL,others,23022,52888.0
33548,2017,7,SE,others,33636,52439.0
33549,2017,7,BA,others,302270,393848.0
33550,2017,7,MG,others,877881,666063.0
33551,2017,7,ES,others,230576,116275.0
33552,2017,7,RJ,others,114142,574914.0
33553,2017,7,SP,others,400023,1187073.0
33554,2017,7,PR,others,421475,400334.0
33555,2017,7,SC,others,267197,372265.0
33556,2017,7,RS,others,377788,489822.0
33557,2017,7,MS,others,107713,97232.0
33558,2017,7,MT,others,186402,192227.0
33559,2017,7,GO,others,205960,293037.37
33560,2017,7,DF,others,17189,125351.0
33561,2017,8,RO,others,130938,69199.0
33562,2017,8,AC,others,31823,26686.0
33563,2017,8,AM,others,54055,97718.0
33564,2017,8,RR,others,18949,17836.0
33565,2017,8,PA,others,180048,153869.0
33566,2017,8,AP,others,4388,16633.0
33567,2017,8,TO,others,67514,52001.0
33568,2017,8,MA,others,90719,117904.0
33569,2017,8,PI,others,55148,71721.0
33570,2017,8,CE,others,587729,226761.0
33571,2017,8,RN,others,85645,95731.0
33572,2017,8,PB,others,165645,83440.0
33573,2017,8,PE,others,193929,200964.98
33574,2017,8,AL,others,23077,69754.0
33575,2017,8,SE,others,33775,55088.0
33576,2017,8,BA,others,302935,399544.0
33577,2017,8,MG,others,878828,682678.0
33578,2017,8,ES,others,230600,124989.0
33579,2017,8,RJ,others,114012,582187.0
33580,2017,8,SP,others,400237,1242297.0
33581,2017,8,PR,others,421852,404650.0
33582,2017,8,SC,others,267165,376571.0
33583,2017,8,RS,others,378172,492348.0
33584,2017,8,MS,others,107791,106941.0
33585,2017,8,MT,others,186603,200982.0
33586,2017,8,GO,others,206130,278946.6
33587,2017,8,DF,others,17182,122426.0
33588,2017,9,RO,others,131444,66845.0
33589,2017,9,AC,others,31986,26261.0
